Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],PercentChange0116,PercentChange1116
Ecuador,ECU,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,90.98403,91.5869,92.06473,93.29463,94.22264,94.45566,94.35023,,0.036997702,0.030171673
Ecuador,ECU,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,52.44564,54.94851,48.30927,51.81767,59.47755,67.60038,69.48086,69.52549,67.21689,0.265284354,0.439174924
Ecuador,ECU,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,91.27239,93.59707,94.0079,94.66881,95.34571,95.54604,95.48007,,0.04610025,0.020118151
Ecuador,ECU,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,96.43721,98.69484,98.83163,98.60464,99.09777,99.1262,99.05711,,0.0271669,0.003670607
Egypt,EGY,GDP per capita (constant LCU),NY.GDP.PCAP.KN,14345.18865,14576.88072,19073.87658,,19055.21562,19182.55939,19601.57637,20035.80758,,0.374492113,0.050431856
"Egypt, Arab Rep.",EGY,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,,,,,,76.81479,,80.74153,81.65996,,
"Egypt, Arab Rep.",EGY,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,,,,,,89.31524,,95.02201,94.87291,,
"Egypt, Arab Rep.",EGY,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,9.70724,11.14909,21.72302,22.29725,,26.86083,,26.52826,25.53504,1.379410338,0.221204971
"Egypt, Arab Rep.",EGY,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,88.89279,89.71444,96.13774,99.10532,,99.58566,,99.48695,99.44724,0.108929064,0.034837619
"Egypt, Arab Rep.",EGY,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,89.28192,92.02342,,,,88.19256,,
"Egypt, Arab Rep.",EGY,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,69.03851,70.93926,,,,67.46928,,
"Egypt, Arab Rep.",EGY,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,4.86007,2.2849,2.06925,4.88229,5.27692,,,,,
"Egypt, Arab Rep.",EGY,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,73.86559,75.06073,,,,71.16825,,
El Salvador,SLV,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2951.600988,2958.168813,3397.871058,,3543.157211,3595.790733,3663.038303,3738.469818,3805.428159,0.263778389,0.100238871
El Salvador,SLV,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,40.02944,41.91318,52.91912,53.1145,54.90169,56.49349,55.52836,55.53517,54.58588,0.325004927,0.049434873
El Salvador,SLV,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1283.483303,1296.943665,1498.12194,,1540.010146,1554.399971,1582.250267,1611.462252,,0.242507516,0.075654931
El Salvador,SLV,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,84.14472,86.36229,,,,,93.0173,88.18333,82.75499,0.021086055,
El Salvador,SLV,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
El Salvador,SLV,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,92.5992,93.38818,,,,93.15879,91.02535,89.57864,85.43314,-0.040792529,
El Salvador,SLV,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,47.93307,49.39867,63.49826,65.32173,67.03843,66.52072,65.16322,63.97324,60.18056,0.295039725,0.007480205
El Salvador,SLV,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,85.08495,,86.39838,,87.8372,87.97476,88.70706,,0.033963821
El Salvador,SLV,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,85.49399,,86.76758,,87.96985,88.14177,88.48271,,0.030970364
El Salvador,SLV,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,96.54509,,97.22419,,97.94933,98.00859,97.98045,,0.01515872
Equatorial Guinea,GNQ,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2224472.242,3489826.902,7082532.259,,6747182.563,6501174.403,5679150.279,4996154.336,4659052.816,0.431633854,-0.294580786
Equatorial Guinea,GNQ,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,24.40931,,38.98155,38.09752,,,31.44828,,,,
Equatorial Guinea,GNQ,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2224472.242,3489826.902,7082532.259,,6747182.563,6501174.403,5682940.125,4980098.339,,0.427033053,-0.296847772
Equatorial Guinea,GNQ,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,65.47315,72.16857,46.07595,47.39401,,,44.69696,,,,
